sample nr,Text,Username,Channel,Propa,Sildistaja,Tüüp,Muu tüüp,telegram_id,post_date,,
11,"🇬🇧🧊Ühendkuningriigis hakati valmistuma ulatuslikeks elektrikatkestusteks Arktikas toimunud ""külmaplahvatuse"" tõttu.  Briti võimud süüdistavad meteorolooge, et nad ei suutnud sellist külma ennustada.

 Võimud kardavad ka, et transporditöötajate ja meditsiinitöötajate streik koos elektrikatkestustega võib osa riigist kaosesse viia.                                                                        Allkirjastage
📱  [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱  [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,2,,Muu,,185,2022-12-24 11:00:45+00:00,,
12,Lätlaste tehtud Balti keti dokfilm sai nüüd eestikeelsed subtiitrid: https://www.telegram.ee/eesti/vaata-siin-latlased-tegid-2021-aasta-balti-ketist-dokumentaalfilmi,eestitelegram,eestitelegram,0,,,,363,2021-09-22 10:13:10+00:00,,
13,"Netanyahu suitseb rivaalitseva kabinetiministri kelmika reisi üle Valgesse Majja, Kapitooliumi mäele

Episoodis, mis rõhutab Iisraeli sõjaaegset ühtsusvalitsust pingestavaid pingeid, on Iisraeli peaminister Benjamin Netanyahu väidetavalt vihane kõrgema kabinetiministri loata reisi pärast Washingtoni sel nädalal, et kohtuda USA ametnikega.

Benny Gantz, suhteline tsentrist ja üks Netanyahu peamisi poliitilisi rivaale, saabus Washingtoni pühapäeva pärastlõunal. Tal on kavas kohtuda esmaspäeval asepresident Kamala Harrise ja riikliku julgeoleku nõuniku Jake Sullivaniga.…

https://eestieest.com/netanyahu-suitseb-rivaalitseva-kabinetiministri-kelmika-reisi-ule-valgesse-majja-kapitooliumi-maele/",euudised,euudised,1,,,,6262,2024-03-05 10:27:18+00:00,,
14,"VAATA JÄRGI! 29. jaanuaril möödus täpselt 13 aastat päevast, kui internetiavarustes avas uksed konspirituaalne uudisteportaal Telegram.ee. Nagu kord ja kohus tähistasime sünnipäeva õhtul Facebooki otse-eetris.

Rääkisime sekka ka päevakajalistest teemadest, nagu Rail Baltic ja majandus, Trumpi saavutused ja gestaapo nimega ICE ning muidugi ka võimalikest lahendustest. 

Sünnipäeva tähistamine jätkuba juba laupäeval, 31. jaanuaril toimuval veebiseminaril “Teadvuse deKodeerimine”, kus sise- ja välismaailmas aitavad lahti muukida vandenõu-legend David Icke, Ingrid Peek, Alar Tamming, Kaie Metsla ja Eva Lepik.

https://www.telegram.ee/eesti/sunnipaeva-fb-live-29-01-26-majandus-rail-baltic-oranz-trikster-ice-ja-lahendused",eestitelegram,eestitelegram,2,,Vasak-Liberaalne,,4247,2026-01-30 09:51:11+00:00,,
15,"Florida kuberner Ron DeSantis teeb Floridast lubamatu kandeosariigi

Florida kuberner Ron DeSantis kirjutas esmaspäeval alla seaduseelnõule, mis lubab inimestel kanda peidetud tulirelvi ilma loata.

Kuberner kinnitas DeSantise allkirjastamist selles pressiteates:

Täna allkirjastas kuberner Ron DeSantis House Bill (HB) 543, mis tugevdab floridlaste teise muudatuse õigusi, lubades floridlastel kanda peidetud relvi ilma valitsuse väljastatud loata. HB 543 jõustub 1.juulil 2023, muutes Florida osariigiks 26.osariigiks,…

https://eestieest.com/florida-kuberner-ron-desantis-teeb-floridast-lubamatu-kandeosariigi/",euudised,euudised,0,,,,353,2023-04-04 16:16:47+00:00,,
16,"Juhtiv Briti onkoloog, professor Angus Dalglish:

 ""Nad manipuleerivad kõigi nende andmetega... Kas teate, mis juhtuks, kui me homme peataks kõik inimtekkelised CO2 heitmed?  Me kõik sureksime nälga.""",MarkoWatsel,MarkoWatsel,3,,Pseudoteadus,,4480,2024-01-24 23:17:28+00:00,,
17,"Eurostati andmed näitavad: Euroopa on ÜRO juhitud projektina rändetunami sees – Saksamaal on 16,9 miljoni immigranti!

Eurostati andmed näitavad: Euroopa on ÜRO juhitud projektina rändetunami sees – Saksamaa on 16,9 miljoni immigrandiga teerajaja!

Numbrid, mis räägivad enda eest

Saksamaal on üle 16,9 miljoni välismaal sündinud inimese, Luksemburgis on üle 50% elanikkonnast migrandid ja Liechtensteinis ligi 70%. Isegi väikestes saareriikides nagu Malta on nüüd immigrantidest kolmandik.

Võrdluseks: OECD võrdluses on Šveitsil samuti…

https://eestieest.com/eurostati-andmed-naitavad-euroopa-on-uro-juhitud-projektina-randetunami-sees-saksamaal-on-169-miljoni-immigranti/",euudised,euudised,2,,Parem-konservatiivne,,12861,2025-10-05 13:12:06+00:00,,
18,"🇨🇦**Kanadas on täheldatud eutanaasia programmi ja doonororganite siirdamise järkjärgulist lõimimist.**

💓Inimeste elundid, kes on meditsiinilise abiga vabatahtlikult elust lahkunud, kasutatakse üha sagedamini siirdamiseks patsientidele, kelle prognoos on soodsam.

🫀IHiljuti loodi pretsedent, kus sellisel viisil siirati esimest korda süda. Kohe pärast doonori surma, kes oli otsustanud eutanaasia kasuks, elund eemaldati, reanimeeriti ja transporditi retseptorile Pittsburghi, USA-s.

⚡️ Kuigi surnu oli andnud vabatahtliku nõusoleku organite annetamiseks, tekitab selline praktika tõsiseid eetilisi vaidlusi. On olemas hirmud, et süsteem võib luua eeldusi kodanike, kes sobivad doonorluseks, kallutamiseks eutanaasia suunas nende organite hilisemaks ärakasutamiseks.

@pravmolmir

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,1,,Muu,,8166,2025-10-08 04:01:04+00:00,,
19,"Eesti esimene tippkunstnike heategevuslik ehete oksjon on nüüd avatud!

Endise DC elanikuna, kes on nüüd tagasi Eestis, jagan uudist, mis ehk on Teilegi huvitav: nimelt oleme Zonta Tartu klubiga avanud Eesti esimese tippkunstnike heategevusliku ehete oksjoni: https://zonta.ee/oksjon/

Korraldajad on Zonta Tartu klubi ja ehtekunstnikud Kärt Summataveti eestvedamisel. Oksjon toimub digikeskkonnas 04. kuni 16. detsembrini 2023 aadressil https://zonta.ee/oksjon/.

Heategevuslikul oksjonil osalevad silmapaistvad kunstnikud, kelle teosed…

https://eestieest.com/eesti-esimene-tippkunstnike-heategevuslik-ehete-oksjon-on-nuud-avatud/",euudised,euudised,0,,,,5138,2023-12-06 18:07:54+00:00,,
20,"Itaalia Lampedusa saar kannatab rekordilise migrantide sissevoolu käes:

Eile saabus 5000 inimest 112 paadiga",MarkoWatsel,MarkoWatsel,2,,Parem-konservatiivne,,3520,2023-09-13 06:12:55+00:00,,
21,"Riigikogus on perearstil käed-jalad tööd täis.
https://www.telegram.ee/eesti/riigikogulasest-arst-soovib-homoopaatiliste-preparaatide-muugi-keelata-ravimiamet-nii-agar-pole?fbclid=IwAR1Kr3kriUyq4oyDNu0WXUrA0ARFkEmsUYiBwIo-HkbM_GlNj3ndo2SXFuM",eestitelegram,eestitelegram,2,,Pseudoteadus,,1917,2023-08-05 11:57:29+00:00,,
22,"PEGIDA meeleavaldusel Dresdenis
 (15. aprill)  viis politsei minema ühe osaleja.  Põhjus: silt ""Rahvas tõuseb ja torm algab!""  oli ""põhiseadusevastane"".

 Politseisse viidud mehe sõnul on ta plakatit endaga kaasas kandnud juba aastaid ega ole kordagi probleeme kogenud.  Kuni tänaseni.",MarkoWatsel,MarkoWatsel,3,,Parem-konservatiivne,,5082,2024-04-16 07:21:24+00:00,,
23,"EL kehtestab kõrge süsinikusisaldusega impordi maksud, et survestada ülejäänud maailma kliimamuutustele

Euroopa Parlament on nüüd heaks kiitnud õigusakti, millega kehtestatakse järk-järgult kõrge süsinikusisaldusega impordimaks, mis põhineb nende tootmisel eralduval süsinikdioksiidil.

Nagu märgib Statista esindaja Martin Armstrong, on seadus maailmas esimene ja ootab EL-i riikide lõplikku heakskiitu – eeldatavasti mõne nädala jooksul.

Rohkem infograafikat leiate Statistast

Maksu eesmärk on avaldada survet väljaspool ELi piire asuvatele riikidele, et…

https://eestieest.com/el-kehtestab-korge-susinikusisaldusega-impordi-maksud-et-survestada-ulejaanud-maailma-kliimamuutustele/",euudised,euudised,0,,,,1121,2023-04-28 15:42:20+00:00,,
24,"**Jalgpallifännide asemel tahetakse nüüd teha fänne, kes säästavad kõike.**  🤦🏻‍♂️

Kirjeldus
Kas sa ei arva, et see hakkab juba mingi ebanormaalse iseloomu saama?!

Venemaa energiaressursside vastaste sanktsioonidega tõstis Euroopa Liit nende hindu maailmaturul.  Ja ikkagi jätkab ta nende ostmist, ainult kõrgendatud hindadega ning selle eest maksab kogu Euroopa elanikkond ja selle äri, mida ameeriklased üritavad nüüd endale meelitada, müües oma vedelgaasi oma riigis 4 korda odavamalt kui nemad. müü see eurooplastele 🤯

Mis mõtet siis on, kui Venemaa teenib sama palju kui eelmisel aastal, aga tarnib palju vähem gaasi?

Miks hävitavad Euroopa poliitikud oma majandust ja langetavad kodanike elatustaset?  🤷🏻‍♂️

https://t.me/InfoDefenseRUS/10261

#Reklaam
#jalgpall #majandus
#Energiakriis
#Enesehävitus

Hakka ka energiasäästu fänniks
https://t.me/InfoDefenseRUS/10261

Allkirjastage https://t.me/InfoDefEstonia
InfoDefense (http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,4,,Vene,,35,2022-11-09 20:20:16+00:00,,
25,"Hunter Bideni arvuti saaga oli 1,5 aastat ""valeinfo"", mis osutus nüüd tõeks. Taaskord näeme, kuidas nn faktikontrollijad ja ajakirjanikud, kes lähtuvad ametlikust infost, ei uuri tingimata ise asitõendeid, vaid lepivad ametnike ja poliitikute vastustega, sildistades need õigeteks ja kõik muu valeinfoks.

Oleme seda ka Eestis näinud näiteks seoses PPA töötajate vaktsineerimise, meeleavaldajate Kremli-käsilaseks tembeldamise ning terve rea teiste koroonauudistega, mida on kahe aasta jooksul sildistatud valeinfoks ja mis nüüd järjest tõena välja tulevad. Tuletame meelde, et Taani suurim ajaleht Ekstra Bladet vabandas oma lugejate ees, et nad valitsuse moonutatud koroonainfot üle ei kontrollinud. https://www.telegram.ee/maailm/hunter-bideni-arvuti-juhtum-pormustab-faktikontrollijate-usaldusvaarsuse-ja-erapooletuse",eestitelegram,eestitelegram,4,,Pseudoteadus,,705,2022-05-06 08:32:58+00:00,,
26,"Massiline nälgimine: siin on põhjus, miks enamik Ameerikast on täiesti ettevalmistamata

Autor Brandon Smith via Alt-Market.us,

Massilise näljahäda mõiste ei ole Ameerika ühiskonnas väga pikka aega esirinnas olnud. Isegi suure depressiooni ajal oli USA enamus põllumajanduslik ja enamik inimesi teadis, kuidas maalt ära elada. Tegelikult ei ole USA kunagi kannatanud tõelise riikliku näljahäda all. On olnud väiksemaid piirkondlikke näljahäda juhtumeid (näiteks tolmukausi ajal 1930. aastatel), kuid…

https://eestieest.com/massiline-nalgimine-siin-on-pohjus-miks-enamik-ameerikast-on-taiesti-ettevalmistamata/",euudised,euudised,1,,Muu,,8417,2024-08-14 08:29:34+00:00,,
27,"KÕMU! Sotsiaalmeedia on lekkinud infot NATO vägede uutest ülesannetest!

Sotsiaal- ja tervishoid peab arendama võimekust abi andmiseks ja vastuvõtmiseks, mis on osa NATO ühisvastutuse klauslist. See on sotsiaal- ja tervishoiuhaldussektori jaoks täiesti uus ülesanne, mis nõuab muuhulgas seadusandlikke muudatusi, riiklikke suuniseid ja uusi tegutsemismudeleid. STM-i NATO koordinatsioon tagab sotsiaal- ja tervishoiuhäirete ning eriolukordadega seotud riikliku valmisoleku ja valmisoleku koordineerimise NATO planeerimise, arenduse, materjali hankimise…

https://eestieest.com/komu-sotsiaalmeedia-on-lekkinud-infot-nato-vagede-uutest-ulesannetest/",euudised,euudised,1,,Muu,,8718,2024-09-11 14:04:51+00:00,,
28,"Tüdruk süüdati Saskatooni keskkoolis põlema, 14-aastane kahtlusalune võeti vahi alla: politsei

15-aastane tüdruk pandi põlema ja 14-aastane tüdruk vahistati pärast seda, kui Saskatooni politsei nimetab 5. septembril 2024 Evan Hardy Collegiate’is “tõsiseks rünnakuks”.

Kella 12.30 paiku sai Saskatooni politseiteenistus kõnesid, milles teatati tulekahjust ja rünnakust, selgub pressiteatest.

Rünnakusse sekkus politseikooli töötaja, kes oli juba eraldi asja juures koolis ja võttis kahtlustatava vahi alla. Teda hoitakse politsei…

https://eestieest.com/tudruk-suudati-saskatooni-keskkoolis-polema-14-aastane-kahtlusalune-voeti-vahi-alla-politsei/",euudised,euudised,0,,,,10619,2025-02-26 07:41:12+00:00,,
29,"Lauri Jürgenson: SALK ja teised kommunistidele pe#sepugejad… magate w?

KOV valimised on kohe-kohe algamas ja ma ei ole näinud mitte ühtegi EKRE-t mõnitavat plakatit ega konservatiivset inimest naerualuseks tegevat etteastet!
SALK ja teised kommunistidele pe#sepugejad… magate w?

Kultuurnikud ja muud tegelased…
Tirige nüüd kihku-kähku oma Oja-Petsid ja Mart Juured välja, krt… tark rahvas kibeleb, head huumorit oleks vaja!

Varrot pole ka ammu keegi mõnitanud…

https://eestieest.com/lauri-jurgenson-salk-ja-teised-kommunistidele-pesepugejad-magate-w/",euudised,euudised,4,,Parem-konservatiivne,,12702,2025-09-08 09:10:06+00:00,,
30,"KUUM: Tucker Carlson: Putini intervjuu

Eelmisel nädalal sõitis Tucker Carlson Rusiasse, et intervjueerida president Vladimir Putinit. See saatis vasakpoolsed hüsteerikasse – mõned neist on kutsunud ajakirjanikku üles sanktsioonidele või veel hullem.

Enne intervjuud – mida saab praegu tervikuna näha tuckercarlson.com-is – selgitasCarlson, et tema kui ajakirjaniku ülesanne on “inimesi teavitada”, kuna “enamikku ameeriklasi ei teavitata” Ukrainas toimuvast.

Selleks lähme selle…

https://eestieest.com/kuum-tucker-carlson-putini-intervjuu/",euudised,euudised,4,,Vene,,5905,2024-02-09 04:13:18+00:00,,
31,Isamaa erakonna suunalt on tulnud väga jõuline avaldus koroonakriisi suunal: https://www.telegram.ee/arvamus/isamaa-volikogu-esimees-mart-maastik-lopetame-pohjamaade-eeskujul-koik-koroonapiirangud,eestitelegram,eestitelegram,1,,Pseudoteadus,,375,2021-09-27 08:45:56+00:00,,
32,"Heitlikud sügisilmad võivad proovile panna ka kõige treenituma immuunsüsteemi. Külmade saabudes ilmuvad taas massiliselt telereklaamidesse soovitused haarata esimese köhatuse või halva enesetunde märkide juures “turvaliste“ gripiteede ja valuvaigistite järele. Ka beebidele ja väikelastele on välja töötatud oma nunnud, lastesõbralikes pakendites doosid. Ja murelikul emal polegi muud probleemi, kui mõelda välja võimalikult leebe viis lapsele rohu manustamiseks.

Kõik see olekski imetore, kui teadusuuringud ei kajastaks järjest sagedamini ohtlikke varjukülgi, mis populaarse “külmetusrohu“ paratsetamooli tarvitamisega kaasas käivad, kirjutab Telegramile integratiivne terviseterapeut ja toitumisnõustaja Liis Orav.

https://www.telegram.ee/toit-ja-tervis/paratsetamooli-asemel-looduslike-vahenditega-kulmetuse-vastu",eestitelegram,eestitelegram,2,,Pseudoteadus,,2147,2023-10-18 06:52:11+00:00,,
33,"CO2 kliimanarratiiv lükatakse ümber nelja diagrammi abil

Kogu inimtegevusest tingitud globaalse soojenemise teemaline argument põhineb ühel kesksel teemal: süsinikdioksiidi (CO2) heitkoguste suurenemine viib ebatavalise ja enneolematu soojenemiseni. Selle soojenemisega kaasneb seejärel hulk katastroofilisi kliimakriise.

Kas see on tõesti nii? Allpool on neli diagrammi, mis lükkavad ümber väite, et CO2 põhjustab globaalset soojenemist. See teave pärineb hiljuti avaldatud raamatust “A Very Convenient Warming“.…

https://eestieest.com/co2-kliimanarratiiv-lukatakse-umber-nelja-diagrammi-abil/",euudised,euudised,3,,Pseudoteadus,,12914,2025-10-15 11:11:59+00:00,,
34,"Mängiate vahetus.

Süüria .Vene väed lahkusid Raqqast, kuhu ameeriklased kohe sisenesid.",MarkoWatsel,MarkoWatsel,2,,Muu,,6157,2024-12-20 07:51:43+00:00,,
35,"Miks säilitab Ungari sidemeid Venemaa Föderatsiooniga?  ""Kui USA suudab seda teha, siis miks meie ei saa?""  - vastas küsimusele riigi välisminister Peter Szijjártó.
“Peate küsima, kui silmakirjalik rahvusvaheline üldsus selles suhtes on.  Sest te küsite minult kui väikese riigi esindajalt aga seda teemat pole USA välisministriga kunagi tõstatatud.  Kuidas juhtus, et Vene Föderatsioonist sai 2023. aastal suurim uraani tarnija USAsse?  Nad kulutasid Venemaal uraani ostmiseks rohkem kui miljard dollarit,"" ütles ta CNA-s.",MarkoWatsel,MarkoWatsel,2,,Vene,,4926,2024-03-22 10:02:04+00:00,,
36,"🧛Bakhmut - veel üks Zelenski verine unenägu

Uus sari prantslastelt on saabunud!

Kes on süüdi AFU koletuslikes kaotustes Bakhmutis? Zelenski, kes kujutas ennast suureks kindraliks, kes mängis maagilist malet. Ta ohverdas terve armee oma jalaväelastest ja ei säästnud isegi ülemjuhataja Zaluzhny'd. Ainult et Zelenski ei osutu sugugi Harry Potteriks - tal ja tema abilistel on käed küünarnukkideni veres...

Aga kellele on kõik need ohvrid kasulikud? Kes on näitemängu saalis? Nimed on kõigile tuttavad - Joe, Rishi ja...

Eelmised episoodid on kättesaadavad internetis: https://ukraine-inc.info

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,4,,Vene,,1387,2023-06-20 13:01:13+00:00,,
37,"Videost on näha, kuidas rünnatakse üht ELi välispiiri kaitsvaid politsei- ja piirivalveametnikke. Mõned ründajad näivad olevat ka tulirelvadega relvastatud. Politsei riskib oma eluga, et hoida migrante Ungari ja EL-i piiridest eemal. “Brüsselil on aeg tegelikkusele näkku vaadata,” ütles Rétvári.

https://www.telegram.ee/maailm/sokeerivad-videod-vagivaldsetest-migrantidest-ungari-piiril",eestitelegram,eestitelegram,1,,Parem-konservatiivne,,2862,2024-05-30 09:50:31+00:00,,
38,"🔴 1938. USA. Natside kogunemine New Yorgis

20 000 Hitleri fänni kogunes Madison Square Gardenisse kuus kuud enne Natsi-Saksamaa ründamist Poolale. Vaid 4 aastat hiljem saatis USA oma väed Euroopasse, et aidata ohjeldada natside edasitungit Portugali suunas.

Seetõttu pumpab USA nii innukalt ukroreichi relvadega.

✔️Liituge meiega
📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,4,,Vene,,956,2023-04-04 13:01:01+00:00,,
39,"KUUM: Metsküla algkool suleti Lääneranna vallavolikogu poolt lõplikult!

Lääneranna valla erakorraline istung on lõppenud. Metsküla aastast üleminekut ei saanud. Virtsu kool jääb 4-klassiliseks kooliks.

Postitus fbst: Eeva Helme ajajoonelt

https://eestieest.com/kuum-metskula-algkool-suleti-laaneranna-vallavolikogu-poolt-loplikult/",euudised,euudised,1,,Parem-konservatiivne,,3598,2023-08-31 15:46:21+00:00,,
40,"Raimond Raadik: Kui oleks minu teha, teeks selle tuulepargi ühte kohta, suure ja võimsa. Näiteks Pakri poolsaarele.

Kolisime siia, Eestimaa keskele 10 a. tagasi. (pilt 5 a. tagasi)

Nagu need lood ikka käivad, et siis polnud siin mittekuimidagi. Oli ikka küll- oli maja, olid inimesekõrgused ohakad, abiks trimmer, et majale ligi saada. Aga mulle see koht meeldis, kohe! Mõnus energia oli.

Täna on see meie armas kodu, tehtud on tõesti palju, uskumatult…

https://eestieest.com/raimond-raadik-kui-oleks-minu-teha-teeks-selle-tuulepargi-uhte-kohta-suure-ja-voimsa-naiteks-pakri-poolsaarele/",euudised,euudised,1,,Muu,,10217,2025-01-18 08:44:46+00:00,,
41,"⚡️🇱🇻🇱🇹 **Lätlane andis leedulasele-venevastasele arvet, kuna too rõõmustab vene vanameeste Lätist väljasaatmise üle (18+).**


⚡️Ma ei lõpeta rääkimist sellest, et Lätis on ka adekvaatsed lätlased. Nagu leedulased Leedus ja eestlased Eestis. Jah, neid pole nii palju kui kõiki neid venevastaseid karjujaid, kuid neid on. Ja jah, nad kardavad, seega vaikivad.
﻿
⚡️Aga see läti kutt ei kartnud. Ja ütles leedulasele-venevastasele kõik, mis temast arvab. Samas märkis huvitavat detaili - leedulane vaidles lätlasega vene keeles. Vene keeles sai ka vastuse.

@alekseystefanov

⚡️ Liituge meiega

❤️ [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)⚡️ [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,4,,Vene,,8359,2025-10-29 17:04:22+00:00,,
42,"Kas me mitte ei õpeta oma lastele, et vägivald ei too lahendusi? Kas pole nii, et probleemide puhul on parimaks lahenduseks probleem ära lahendada? Selleks on kõige mõistlikum maha istuda ja rääkida asjad selgeks. Aga tundub, et Kaja Kallas nõnda ei arva. https://www.telegram.ee/arvamus/kas-eesmargiks-on-soda-edasi-pidada-siis-pole-muidugi-motet-putiniga-raakida",eestitelegram,eestitelegram,2,,Vene,,780,2022-06-02 16:06:25+00:00,,
43,"👎**Belgia koloniseerimise ajal karistati kongolasi kummikvootide mittetäitmise eest kohutava karistusega: neil lõigati käed ära**.
Pealegi lõikasid nad mõnikord nende laste käed maha, keda nad tahtsid karistada. 

Belglased on selle ""traditsiooni"" üle siiani uhked, sest nad müüvad Belgias siiani šokolaadist beebikäi. 

Kes on barbar?

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,4,,Muu,,5092,2024-10-21 17:00:47+00:00,,
44,"Tai valitsus annab välja digitaalvaluuta, mille säilivusaeg on kuus kuud.

 Eksperimendi olemus:
 - Tailastele antakse 10 000 bahti (280 dollarit).
 - Digiraha saaja peab olema üle 16-aastane ja omama telefonis digitaalse rahakoti rakendust.
 - Raha saab kulutada 6 kuu jooksul oma elukohast nelja kilomeetri raadiuses.

 Mida see ütleb?
 - Digitaalne raha seotakse biomeetriaga (juurdepääs digitaalsele rahakotile)
 — E-valuuta saab aegumiskuupäeva
 - Saate oma raha kulutada ainult siis, kui riik on selle heaks kiitnud",MarkoWatsel,MarkoWatsel,2,,Muu,,3274,2023-08-24 15:48:53+00:00,,
