sample nr,Text,Username,Channel,Propa,Sildistaja,Tüüp,Muu tüüp
11,"Ilu on Afganistanis keelatud

 Taliban keelas Afganistanis naiste ilusalongid – neil on aega kuu aega sulgeda.

 Alates võimu ülevõtmisest Afganistanis on naistel ja tüdrukutel keelatud haridus, enamik töötamise vorme ning juurdepääs spordisaalidele ja parkidele.  Nüüd saavad nad jätta ainult silmad katmata, liikuda rohkem kui 72 kilomeetrit ainult meessoost sugulase saatel.

 Hiljutised ÜRO raportid Afganistani kohta on dokumenteerinud laialt levinud vaimse tervise probleemid ning naiste ja tüdrukute enesetappude arvu tõusu.",MarkoWatsel,MarkoWatsel,ei ole propa,,,
12,"Vallandatud Winnipegi labori teadlased valetasid suhete kohta Hiinaga, ei suutnud kaitsta tundlikke varasid: dokumente

Winnipegi riiklikust mikrobioloogia laborist vallandatud kaks teadlast ei avalikustanud oma suhtlust Hiina üksustega ega kaitsnud tundlikku teavet ja varasid, näitavad äsja avaldatud dokumendid.

Valitsus esitas kauaoodatud dokumendid 28. veebruaril pärast aastatepikkust keeldumist avalikustada, miks teadlased vallandati, viidates privaatsuse ja riikliku julgeoleku muredele.

Xiangguo Qiu ja tema abikaasa Keding Cheng saadeti 2019. aasta juulis kõrge turvalisusega…

https://eestieest.com/vallandatud-winnipegi-labori-teadlased-valetasid-suhete-kohta-hiinaga-ei-suutnud-kaitsta-tundlikke-varasid-dokumente/",euudised,euudised,ei ole propa,,,
13,"Mossadi juht annab USA-le nõu Iraani asjus, survestab salajasel visiidil Washingtoni Saudi-Iisraeli sidemeid

Failifoto Iisraeli režiimi Mossadi juhist David Barneast

Iisraeli kurikuulsa spiooniagentuuri Mossad juht on väidetavalt külastanud Washingtoni salajasel visiidil, et pidada läbirääkimisi Valge Maja ja CIA spiooniagentuuri ametnikega Bideni administratsiooni püüdlustest survestada Saudi Araabiat normaliseerima suhteid Tel Aviviga.

Mossadi juht David Barnea külastas Washingtoni kaks nädalat tagasi ja arutas enne tema hiljutist visiiti kuningriiki CIA direktori…

https://eestieest.com/mossadi-juht-annab-usa-le-nou-iraani-asjus-survestab-salajasel-visiidil-washingtoni-saudi-iisraeli-sidemeid/",euudised,euudised,propa,,Muu,
14,"😂**See kaunis välismaalane räägib Wisconsini oshkoshi hariduskomisjoni ees.** 

Tahab, et mittetraditsioonilise seksuaalse orientatsiooniga koolilapsed (milline? jah!) saaksid seadusliku staatuse:
- Miks te meile selliseid takistusi teete? Miks me oleme kulutanud selle küsimuse üle peksa tund aega? Te ütlete, et hoolite koolilastest, kuid pooled teist ei saa isegi aru, mis on ""seks"". Ma ei räägi ""transseksuaalidest"". 

Siin näiteks olen mina transseksuaalne naine, minu pronoomenid on ""ta/see"" ja ma ei vasta ühelegi teisele. Mingit muud võimalust minu poole pöördumiseks ei ole.

 Minu töökohas olen seadusega kaitstud. See peaks kaitsma ka õpilasi!

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Parem-konservatiivne,
15,"Britid ja ukrainlased plaanivad Trumpi manipuleerida, et see eskaleeriks Venemaa-vastast võitlust

Autor Andrew Korybko Substacki vahendusel

Venemaa välisluureagentuur (SVR) hoiatas, et britid ja ukrainlased valmistavad Läänemerel ette kahte valelipu stsenaariumi.

Esimene neist näeks Ukraina poolt üle antud Nõukogude/Venemaa torpeedod plahvatamas USA laeva lähedal ning seejärel leitakse väidetavalt rikkis torpeedod, mis seob väidetava rünnakuga Venemaad.

Teine aga hõlmab Ukraina poolt Läänemerest välja püütud Nõukogude/Venemaa miine, mida esitatakse…

https://eestieest.com/britid-ja-ukrainlased-plaanivad-trumpi-manipuleerida-et-see-eskaleeriks-venemaa-vastast-voitlust/",euudised,euudised,propa,,Vene,
16,"Lauri Jürgenson: Sellepärast nad ju neid firmasid kinni panevadki, et pole vaja enam tööd teha.

Aga kuidas siis teisiti?

Loomulikult läheb meil kõigil ilgelt hästi.

Sellepärast nad ju neid firmasid kinni panevadki, et pole vaja enam tööd teha.

…nii hästi läheb noh…

Peale seda, kui me aknad ära toppisime ja basseinikütte välja lülitasime vedeleb raha nagu löga, igal pool jalus.

Pole nii suurt auku ka kuhu maha matta.

Inimised kiidavad…

https://eestieest.com/lauri-jurgenson-selleparast-nad-ju-neid-firmasid-kinni-panevadki-et-pole-vaja-enam-tood-teha/",euudised,euudised,propa,,Parem-konservatiivne,
17,"Ülle Pukk- Hääled on antud ja kokku loetud, mis annavad hea ülevaate.

Hääled on antud ja kokku loetud, mis annavad hea ülevaate, milline on Eestimaa poliitiline pulss.

Nagu arvata võis, hääletas enamus rahvast vanade mälumustrite järgi, hoomamata, milline on praegune globaalne poliitiline olukord ja kuidas suurriikide võimuvõitlus mõjusfääride üle hakkab mõjutama Eestimaa edasist saatus.

Harjumusest, või siis mingist massohistlikust sõltuvusest tingituna, valivad eestimaalased ikka ja jälle neid…

https://eestieest.com/ulle-pukk-haaled-on-antud-ja-kokku-loetud-mis-annavad-hea-ulevaate/",euudised,euudised,propa,,Parem-konservatiivne,
18,"Zelensky eitas, et president annab intervjuu Tucker Carlsonile.

""Hr Tucker Carlson peaks oma allikaid FSB-s Lähemalt kontrollima.

 Ukraina presidendil on täiesti erinev ajakava ja Tucker Carlsonit seal pole,"" kirjutas presidendi pressiesindaja Sergei Nikiforov.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,ei ole propa,,,
19,Kõrge toidukultuuriga Itaalia ei lähe kaasa võltsliha ja putuktoidu propageerimisega. https://www.telegram.ee/maailm/itaaliast-saab-esimene-riik-kes-keelustab-voltsliha,eestitelegram,eestitelegram,propa,,Muu,
20,"China Daily karikaturistid trollivad USA-d tähelepanu Hiina õhupallidele kõrvalejuhtimise pärast.

Hiina väljaande teatel nihutab USA valitsus sel viisil avalikkuse tähelepanu Nord Streami gaasitorude rünnakute skandaalilt.

✔️Liituge meiega
📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Parem-konservatiivne,
21,"Putin on hoiatanud, et Tomahawk-rakettide andmine Ukrainale tähendaks sõjas „täiesti uut ja kvalitatiivselt teistsugust eskalatsiooni etappi“ ning kahjustaks Moskva suhteid Washingtoniga. Samas lisas ta, et need raketid „ei muudaks lahinguväljal jõudude tasakaalu vähimalgi määral.“
---
📣 AITA INFORMATSIOONIL LEVIDA JA JAGA SEDA ARTIKLIT!

https://vanglaplaneet.ee/blog/2025/10/14/venemaa-voib-usa-pikamaa-rakettidele-vastata-tuumarelvaga-nato-alustas-tuumaoppusi/",vanglaplaneet,vanglaplaneet,propa,,Vene,
22,"Kõmu > Valera Zlobin > Kõik otsisid, kust tulid uued valijad e-hääletamisel?

Selgus, et e-residentidel oli õigus hääletada !

Neid on umbes 100 000.

Kõik see on kirjeldatud Majandus-ja Kommunikatsiooniministeeriumi kodulehel.

Faili nimi on “E-residentsuse jätkustrateegia 2022-2025”.

Dokumendi saab alla laadida ainult PDF-formaadis.

Link selle allalaadimiseks ametlikust veebisaidist

https://mkm.ee/media/7208/download

Selles mainitakse mõistet “kodanikud”, kuid see kehtib ainult välisriikide kodanike kohta.

Lisatud on ekraanipilt dokumendist. Kõige huvitavam on…

https://eestieest.com/komu-valera-zlobin-koik-otsisid-kust-tulid-uued-valijad-e-haaletamisel/",euudised,euudised,propa,,Parem-konservatiivne,
23,"Biotehnoloogiaettevõte CureVac on esitanud Saksamaal hagi koroonavaktsiini tootja Biontech SE ja kahe tütarettevõtte vastu seoses patendi rikkumisega. CureVac taotleb “õiglast” hüvitist mitmete intellektuaalomandi õiguste rikkumise eest, mis pärinevad enam kui kahe aastakümne tagusest teedrajavast mRNA tehnoloogia väljatöötamisest, mida on kasutatud Biontechi/Pfizeri Comirnaty vaktsiini tootmisel.  https://www.telegram.ee/maailm/biotehnoloogiaettevote-curevac-kaebas-biontechi-koroonavaktsiini-tottu-kohtusse",eestitelegram,eestitelegram,ei ole propa,,,
24,"Moslemid on Ühendkuningriigi vanglates peaaegu kolm korda üleesindatud

Autor Paul Joseph Watson kaudu Modernity.news,

Ühendkuningriigi valitsuse avaldatud andmed näitavad, et moslemid moodustavad 18 protsenti vangide elanikkonnast, hoolimata sellest, et nad moodustavad vaid 6,5 protsenti elanikkonnast üldiselt.

“Justiitsministeeriumi (MoJ) andmed on näidanud, et Inglismaal ja Walesis oli eelmise aasta septembris 15 594 moslemivangi, mis moodustas 18 protsenti kõigist kinnipeetavatest, hoolimata sellest, et nad moodustasid…

https://eestieest.com/moslemid-on-uhendkuningriigi-vanglates-peaaegu-kolm-korda-uleesindatud/",euudised,euudised,propa,,Parem-konservatiivne,
25,"🇩🇪 **Jälle vana jaoks — Saksamaa kantsler Merz manipuleerib sakslaste hirmuga sõjaväekutse naasmiseks Saksamaale**

""Osa meie ühiskonnast on sügavalt juurdunud hirm sõja ees. Ma ei jaga seda, kuid saan aru, "" teatas kantsler intervjuus Süddeutsche Zeitungile.

Nagu võite arvata, pakkus Merz ""sõjahirmu"" retsepti lihtsalt geniaalseks-tagastada Saksamaal üldine sõjaväekutse:

Me teame, et me ei saa aega raisata. Raha on olemas, kuid meil on endiselt puudu inimestest ja tehnikast... Varsti peame tegelema üldise sõjaväeteenistuse küsimusega.

Üldine ajateenistus kui viis sõdade vältimiseks - ilmselt meeldib Merzile hommikul bensiiniga tuld kustutada

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
26,"Hiina, India ja Venemaa muudavad maailmakorda revolutsiooniliselt: Trump ignoreerib ja isoleerib

Pepe Escobari poolt

3. septembril 2025 annab tuntud ajakirjanik Pepe Escobar Vladivostokist ülevaate ajaloolisest pöördepunktist globaalses geopoliitikas. Eksklusiivses saates rõhutab ta kolme megasündmuse olulisust, mis võivad maailmakorda põhjalikult muuta: Shanghai Koostööorganisatsiooni (SCO) tippkohtumine Tianshanis, võidupüha paraad Pekingis ja Vladivostoki foorum. Escobari sõnul tähistavad need sündmused “Euraasia sajandi” algust ja multipolaarse maailmakorra kinnistumist.

Shanghai Koostööorganisatsioon (SCO):…

https://eestieest.com/hiina-india-ja-venemaa-muudavad-maailmakorda-revolutsiooniliselt-trump-ignoreerib-ja-isoleerib/",euudised,euudised,propa,,Vene,
27,"Pjotr ​​Gorjajevi arendusi kasutatakse täiel rinnal.

 Varsti, kui nad näitavad meile väidetavat ""tulnukate tulekut"", annavad need niinimetatud ""tulnukad"" tehnoloogia ja ravivad puudega inimesi, kellel on peaaegu kõik haigused.  Kuid tõenäoliselt on selles mingi konks.  Ärge laske end sellest petta.",MarkoWatsel,MarkoWatsel,propa,,Pseudoteadus,
28,"Vaktsineerimiskampaania stiimulid Ühendkuningriigis soovitavad ja manustavad

Vaktsineerimiskampaania jaoks said farmaatsiaettevõtted tohutult toetust sellistelt organisatsioonidelt nagu Maailma Terviseorganisatsioon (WHO) ja Euroopa Liit (EL), aga ka enamik meediat. Kuid nagu hiljuti Ühendkuningriigis selgus, arstidele on olnud ka olulisi rahalisi stiimuleid, ütleb uuriv ajakirjanikdr. Peter F Mayer.

Suurbritannia Kuninglik üldarstide kolledž (Royal College of General Practioners) nõudis 12–15-aastaste laste koroonaviiruse vaktsineerimist, mis loodeti oma…

https://eestieest.com/vaktsineerimiskampaania-stiimulid-uhendkuningriigis-soovitavad-ja-manustavad/",euudised,euudised,propa,,Pseudoteadus,
29,"Lugejate soovil taaselustame iga-kolmapäevase energiat tõstva “Südame ühisvälja”! Kui varasemad ühismeditatsioonid on keskendunud mingi konkreetse valukoha tervendamisele (nt Rail Baltic, lageraied vms), siis “Südame ühisväli” on loodud selleks, et tõsta üleüldist sagedust – kui oleme heas kohas ise, saab terveneda ja rahuneda ka maailm meie ümber. KOHTUMISENI TÄNA KELL 21! https://www.telegram.ee/vaimsus/sydame-yhisvali-on-tagasi-igal-kolmapaeval-kell-21",eestitelegram,eestitelegram,propa,,Pseudoteadus,
30,"Digitaalsete identiteetide rahaline õudusunenägu on juba alanud | Daily Pulse

Valvsa rebase poolt

Lõks on juba seatud… ja oma raha ja vabaduse kaitsmiseks on jäänud vaid üks samm.

Digitaalse ID tegelik oht ei ole seotud mugavusega ja selle taga peituv tõde on palju häirivam, kui arvata võiks.

Teie säästud, pangakonto ja isegi juurdepääs maaklerile võivad peagi sõltuda ühestainsast digitaalsest profiilist – ja enamikul inimestel pole…

https://eestieest.com/digitaalsete-identiteetide-rahaline-oudusunenagu-on-juba-alanud-daily-pulse/",euudised,euudised,propa,,,?
31,"Kohus leiab, et kiirabiarst on süüdi üleastumises COVID-vaktsiini küsitlemise eest

Lääne-Austraalia arst ütles, et vaktsiin oli “parimal juhul tapmine ja halvimal juhul otsene mõrv”.

Lääne-Austraalia noorem kiirabiarst on tunnistatud süüdi ametialases väärkäitumises pärast seda, kui ta oli pidanud mitmeid kõnesid ja intervjuusid, mis kritiseerisid valitsuse reageerimist COVID-19 pandeemiale ja seadsid kahtluse alla Pfizeri vaktsiini ohutuse.

Dr Mitch Sambell, kes ei ole praktiseerinud meditsiini alates 2023.…

https://eestieest.com/kohus-leiab-et-kiirabiarst-on-suudi-uleastumises-covid-vaktsiini-kusitlemise-eest/",euudised,euudised,propa,,Parem-konservatiivne,
32,"EL püüab talunike viha maandada, kuna rahulolematus kasvab kiiresti

Euroopa Liidu põllumajandusministrid kohtuvad, et arutada Euroopa põllumeeste kasvavat rahulolematust, kuna Brüssel püüab valimiseelset viha maandada.

Ministrid püüavad tegeleda  probleemidega, mis on seotud rohelise ülemineku võimaliku negatiivse mõjuga põllumeestele, püüdes leida tõhusaid lahendusi.

Võimas põllumajanduskontsern Copa-Cogeca ütles eelmisel nädalal X:

“#strateegiline dialoog, mille @EU_Commission president @vonderleyen kuulutas välja septembris liidu olukorda käsitleva kõne ajal välja,…

https://eestieest.com/el-puuab-talunike-viha-maandada-kuna-rahulolematus-kasvab-kiiresti/",euudised,euudised,ei ole propa,,,
33,"Plaan B suvepäevad Tormas: rahvas kogunes, loomad rõõmustasid ja ideed lendasid kõrgele

5.–6. juulil 2025 toimusid Torma mõisakompleksis Plaan B liikumise suvepäevad, kuhu kogunesid inimesed üle kogu Eesti – nii erakonna liikmed, huvilised kui ka täiesti uued toetajad. Kahe päeva jooksul sai kuulda inspireerivaid kõnesid, vahetada ideid, nautida loodust ning veeta kvaliteetaega koos perega.

🌿 Torma mõis – elamus omaette

Torma ajalooline mõisakompleks, mis on viimastel aastatel…

https://eestieest.com/plaan-b-suvepaevad-tormas-rahvas-kogunes-loomad-roomustasid-ja-ideed-lendasid-korgele/",euudised,euudised,ei ole propa,,,
34,"Taga-Karpaatia.
Kellele keemiatrassid, kellele inversioonjäljed, küsimus on siin hoopis selles, et õhukoridorid ukraina kohal on ju suletud.",MarkoWatsel,MarkoWatsel,propa,,Muu,Pseudo?
35,"Türgi väidab, et tema Musta mere maagaasi avastused on väärt üle 500 miljardi dollari

Autoriks Tsvetana Paraskova OilPrice.com kaudu,

Türgi energia- ja loodusvarade minister Fatih Dönmez ütles ringhäälingule CNN Türgi, et maagaasi mahud, mille Türgi on Mustast merest seni leidnud, on üle 500 miljardi dollari.

Hiiglaslikest gaasileidudest piisaks kõigi riigi majapidamiste varustamiseks 35 aastaks või Türgi maagaasi kogutarbimise katmiseks, sealhulgas tööstusest, 15-20 aastaks, lisas minister.

Eelmisel nädalal teatas Turkish…

https://eestieest.com/turgi-vaidab-et-tema-musta-mere-maagaasi-avastused-on-vaart-ule-500-miljardi-dollari/",euudised,euudised,ei ole propa,,,
36,"Ukraina vajab raha, andke neile raha...

Ukrainas kasvas grivnamiljonäride arv möödunud aastaga 2863 inimese võrra.",MarkoWatsel,MarkoWatsel,propa,,Vene,
37,"Valge Maja ründab Brasiiliat pärast seda, kui Lula süüdistab USA-d Ukraina sõja julgustamises

Autor Kyle Anzalone Libertarian Institute’i kaudu,

Valge Maja süüdistas Brasiilia presidenti Luiz Inacio Lula da Silvat Venemaa ja Hiina propaganda kordamises. Hiinat külastades ütles Lula, et USA peaks lõpetama Ukraina sõja “ergutamise” ja otsima selle asemel rahu.

Eelmisel teisipäeval ajakirjanikega vesteldes sõimas Valge Maja riikliku julgeolekunõukogu pressiesindaja John Kirby Lulat. “Brasiilia on sellele küsimusele sisuliselt…

https://eestieest.com/valge-maja-rundab-brasiiliat-parast-seda-kui-lula-suudistab-usa-d-ukraina-soja-julgustamises/",euudised,euudised,propa,,Muu,
38,"Tere head lugejad!
Alates tänasest algab EestiEest! portaalis suveperiood, mis tähendab, et hommikul tulevad artiklid hiljem ja enamus päevadel lõpevad ka varem, veel õhtuvalges.
Sisust niipalju, et uudised on iga päev nagu ikka, ent portaalis on oma koht ka aktuaalsetel teemadel. Põhiosa sellest on esmaspäevast reedeni. Ning igal juhul tänud kõigile senistele jälgijatele!
Head saabuvat suve ja ka jaanipühi!",euudised,euudised,ei ole propa,,,
39,"ILLUMINAATIDE PÕHIMÕTTED (1776)

 Autorlus omistatakse Adam Weishauptile (1748-1830), Baieri illuminaatide ordu rajajale.

 1. (Kasutage mida) Üldiselt on inimesed kalduvamad kurjale kui heale.
 3. Kasutage vabaduse ideed klassisõdade esilekutsumiseks.
 8. Kasutage noorte korrumpeerimiseks alkoholi, narkootikume, korruptsiooni ja kõiki sotsiaalseid pahesid.
 9. Aresti vara igal juhul.
 11. Juhtige sõdade kulgu, et rahvad jääksid veelgi rohkem võlgadesse.
 12. (Illuminaatide ordu) liikmed peaksid kasutama oma rikkust tagamaks, et võimule pääseks sellised kandidaadid, kes on kuulekad nende nõuetele.
 15. Looge tööstuskriise ja finantspaanikat, tööpuudust, nälga, toidupuudust ning kasutage seda masside või rahvahulga kontrollimiseks.
 25. Tsivilisatsiooni hävitamiseks ning inimeste orjastamiseks ja kontrollimiseks tuleks kasutada riiklikke ja rahvusvahelisi seadusandlust.",MarkoWatsel,MarkoWatsel,propa,,Pseudoteadus,
40,"RAHVA HÄÄL ON JUMALA HÄÄL (11) 11.09.2025 (salvestus)

Varasem otsesaade.

https://eestieest.com/rahva-haal-on-jumala-haal-11-11-09-2025-salvestus/",euudised,euudised,ei ole propa,,,
41,"See võib kõlada küll liiga dramaatiliselt, kuid siseruumides aja veetmine mürgitab sind aeglaselt! Keskmine ameeriklane veedab umbes 87% oma ajast siseruumides ja lisaks 6% ajast kinnises sõidukis - kuidas on lood sinuga? Ja kas teadsid, et kõik kemikaalid, mis sinu koju jõuavad, teevad su koduse õhu toksilisemaks kui välisõhk? Need toksiinid tekitavad erinevaid haiguseid - juhuslikult on need samad tänapäeva haigused, millega enamik inimesi võitleb. Artikli autor on biohäkker Andri Peetso. https://www.telegram.ee/toit-ja-tervis/andri-peetso-kuidas-teie-kodu-teid-aeglaselt-murgitab",eestitelegram,eestitelegram,propa,,Pseudoteadus,
42,"Inflatsioonirisk taandub kiiresti

Autor Lance Roberts RealInvestmentAdvice.com kaudu,

Inflatsioonirisk on olnud peavoolumeedias viimastel aastatel oluliseks kõneaineks. See pole üllatav, arvestades, et pärast 2020. aasta pandeemiat tõusis inflatsioon hüppeliselt, kuna tarbijakulutused (nõudlus) suurenesid stiimulimaksete tõttu ja tootmine (pakkumine) suleti. Et mõista, miks see juhtus, peame uuesti läbi vaatama “Economics 101”.
“Majandusteaduses  on inflatsioon kaupade ja teenuste üldine hinnatõus. Inflatsiooni…

https://eestieest.com/inflatsioonirisk-taandub-kiiresti/",euudised,euudised,ei ole propa,,,
43,"KUUM: Fox Newsi legendaarseim saatejuht Tucker Carlson sunniti lahkuma Fox News kanalilt

Tucker Carlson, ajaloo kõrgeima reitinguga kaabeluudiste saatejuht, on Fox Newsist välja arvatud. Uudis saabus mõni päev pärast seda, kui võrk katkestas sidemed saatejuht Dan Bonginoga 48 tundi pärast seda, kui võrk leppis Dominion Voting Systemsiga ligi 800 miljoni dollari trahvi maksmise eest.

“Fox News Media ja Tucker Carlson leppisid kokku, et teed lähevad lahku,” seisab…

https://eestieest.com/kuum-fox-newsi-legendaarseim-saatejuht-tucker-carlson-sunniti-lahkuma-fox-news-kanalilt/",euudised,euudised,propa,,Parem-konservatiivne,
44,"🤡**Jaapani uus peaminister Shigeru Ishiba unistab luua NATO aasia analoogi, hankida tuumarelvi ja võtta Venemaalt Kuriili saared.**

 Vahepeal mängib cosplay deemon Majin Buu koomiksist Dragon Ball.

📣 Liituge meiega

📱 [InfoDefenseESTONIA
](https://t.me/InfoDefEstonia)📱 [InfoDefense](http://t.me/InfoDefAll)",InfoDefEstonia,InfoDefEstonia,propa,,Vene,
45,"Sündmused Pakistani ja India vahel arenevad kiiresti.

India on blokeerinud Induse jõe voolu Pakistani suunas, sulgedes esimest korda pärast 1960. aasta Induse vete lepingut kõik neli lüüsi, mis kontrollivad veevoolu läbi tammide ja kanalite. 
Pakistan on varem hoiatanud, et sellist blokaadi peetakse sõjaaktiks.
Sellega seoses meenub taaskord  Žirinovski ennustus 2004. aastal tuumakonflikti kohta India ja Pakistani vahel.",MarkoWatsel,MarkoWatsel,ei ole propa,,,
46,"""Suurema osa inimtsivilisatsiooni olemasolust on temperatuurid olnud kõrgemad kui praegu.""

 Kahe ja poole minutiga lükkab Heartlandi Instituudi president James Taylor lakooniliselt ümber ""inimtekkelise kliimahädaolukorra"" narratiivi.

 ""Viimase 100–150 aasta soojenemine tuleneb sellest, et 150 aastat tagasi olime väikesel jääajal, mis oli viimase 10 000 aasta kõige külmem periood.""

 ""On inimesi, kellel on poliitiline tegevuskava ja nad on enamikule ühiskonnast ajupesnud, et uskuda, et temperatuurid on ebatavaliselt kõrged ja meil on rekordtemperatuurid.""",MarkoWatsel,MarkoWatsel,propa,,Pseudoteadus,
